"category","answerable","builtStatus","expectedTool","question","note"
"cash-efficiency","now","wired","getCashFlow","Are we cash-flow positive yet?","OCF sign from getCashFlow"
"cash-efficiency","now","wired","getMetric","Why is our free cash flow better than our GAAP loss?","SBC + annual prepay timing; non-GAAP reconciliation"
"cash-efficiency","now","wired","getCashFlow","What's our burn rate net of the cash we collect upfront from annual prepays?","prepay collections flow through OCF / net_burn"
"cash-efficiency","gap","stub","compareScenarios","How sensitive is runway to a 10% revenue miss?","needs Scenarios engine â€” stub"
"cash-efficiency","now","wired","getCashFlow","Show me net burn month by month for the forecast period","monthly cash flow / net burn series"
"cash-efficiency","now","wired","getMetric","What's the gap between our GAAP and non-GAAP operating margin?","-52% GAAP vs -32% non-GAAP"
"cash-efficiency","now","wired","getMonthlyPnL","Did burn spike in any particular month this year?","monthly trend identifies spike"
"cash-efficiency","ambiguous","wired","getDashboard","How much runway does the dashboard show right now?","dashboard tile vs getMetric runway â€” both valid"
"cash-efficiency","now","wired","getCashFlow","What's our cash conversion â€” how much of revenue turns into cash?","OCF vs revenue from cash flow + P&L"
"cash-efficiency","decline","na","decline","Tell me our equity ownership breakdown and remaining option pool","cap table is Carta's job â€” out of scope"
"cash-efficiency","now","wired","explainTile","Explain the burn multiple tile on the dashboard","explainTile for burn_multiple"
"cash-efficiency","now","wired","getMetric","If everything stays flat, how long until we need more cash?","current runway answers flat-burn case"
"pnl-monthly-variance","now","wired","getPnL","What was our net income in FY26?","annual P&L net income line"
"pnl-monthly-variance","now","wired","getPnL","Show me the full P&L for fiscal year 2026.","full annual P&L"
"pnl-monthly-variance","now","wired","getPnL","What's our gross profit for the year?","gross profit line on annual P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Break the P&L down month by month for 2026.","month-by-month view"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Which month had the highest revenue this year?","which-month query -> monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Which month did we lose the most money?","which-month on net income"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What were total operating expenses in May?","May OpEx from monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","How did revenue trend across the months of 2026?","monthly revenue series"
"pnl-monthly-variance","now","wired","explainVariance","What's the variance between budget and actual on revenue for May?","variance column on a P&L line"
"pnl-monthly-variance","now","wired","explainVariance","Why did our net income come in below budget?","variance narrative on net income"
"pnl-monthly-variance","now","wired","explainVariance","Explain the gap between forecast and actual on operating expenses.","forecast vs actual on OpEx"
"pnl-monthly-variance","ambiguous","wired","getPnL","Show me the P&L.","bare 'P&L' may want getMonthlyPnL instead of annual getPnL"
"pnl-monthly-variance","ambiguous","wired","getMonthlyPnL","What's our monthly P&L look like, or just give me the annual?","phrasing straddles getMonthlyPnL vs getPnL"
"pnl-monthly-variance","ambiguous","wired","explainVariance","How are we tracking against budget?","could route to getPnL columns vs explainVariance narrative"
"pnl-monthly-variance","now","wired","getPnL","What was our subscription revenue line in FY26?","subscription line on annual P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","How much services revenue did we book each month?","services line month-by-month"
"pnl-monthly-variance","now","wired","getPnL","What's our total cost of revenue for the year?","total cost of revenue line"
"pnl-monthly-variance","now","wired","getPnL","Show me direct payroll vs non-employee cost of revenue.","two CoR sublines on P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What was operating income in Q2?","quarter aggregated from monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Compare Q1 to Q2 revenue.","QoQ via monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","How did expenses change quarter over quarter?","QoQ OpEx from monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What's our revenue this month vs last month?","month-over-month revenue"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Did indirect payroll go up in the second half of the year?","indirect payroll line over months"
"pnl-monthly-variance","now","wired","explainVariance","What line item drove most of the budget miss in May?","variance decomposition by line"
"pnl-monthly-variance","now","wired","explainVariance","Why is our net margin down versus plan?","net margin variance narrative"
"pnl-monthly-variance","now","wired","explainVariance","Walk me through the variance bridge on operating income.","operating income variance walk"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What was net income year over year, FY25 vs FY26?","YoY across seed months"
"pnl-monthly-variance","now","wired","getMonthlyPnL","How does revenue this year compare to last year?","YoY revenue from monthly series"
"pnl-monthly-variance","now","wired","getPnL","What's our D&A expense for the year?","depreciation & amortization line"
"pnl-monthly-variance","now","wired","getPnL","How much did we spend on Sales & Marketing programs in FY26?","S&M programs OpEx line"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What's the IT expense line by month?","IT OpEx group month-by-month"
"pnl-monthly-variance","now","wired","getPnL","Show me Travel & Entertainment for the year.","T&E OpEx line"
"pnl-monthly-variance","now","wired","getPnL","What were taxes on the P&L this year?","taxes line reported on P&L"
"pnl-monthly-variance","decline","na","decline","How much should we set aside for taxes next year?","tax advice out of scope"
"pnl-monthly-variance","decline","na","decline","Can you post a correcting entry to fix the May expense overstatement?","posting JEs is the ERP's job; Dogfood reads a clean close"
"pnl-monthly-variance","now","wired","explainVariance","Why did Facilities expense jump in March?","month-over-month line movement explanation"
"pnl-monthly-variance","gap","none","getExpenseForecast","What caused the spike in S&M spend in Q3?","causal driver answer needs Expense Forecast driver surface (no tool wired)"
"pnl-monthly-variance","gap","none","getCostOfRevenue","What's driving the forecasted CoR increase in Q4?","needs Cost of Revenue driver surface; no tool wired"
"pnl-monthly-variance","gap","none","getPersonnelForecast","Why is forecasted payroll rising in the back half?","needs Personnel driver surface; no tool wired"
"pnl-monthly-variance","gap","none","getRevenueForecast","What assumptions are behind the revenue forecast for July through December?","needs Revenue Forecast driver surface; no tool wired"
"pnl-monthly-variance","gap","none","getPnL","Show me the departmental P&L for Engineering.","Departmental P&L view not built; main P&L only shows Direct vs Indirect payroll"
"pnl-monthly-variance","gap","none","getPnL","Can I see the fully-loaded P&L by function?","functional Departmental P&L view not built"
"pnl-monthly-variance","gap","none","getFluxNotes","Are there any flux notes on the May expense variances?","flux-notes read path designed not built"
"pnl-monthly-variance","gap","none","addFluxNote","Add a note explaining why IT was over budget in May.","flux-note write path not built"
"pnl-monthly-variance","gap","none","getBoardPackage","Put this in the board package: P&L vs budget for the quarter.","Board Package not built"
"pnl-monthly-variance","now","wired","getMetric","What's our gross margin percent for FY26?","gross_margin_pct in metric catalog"
"pnl-monthly-variance","now","wired","getPnL","What's the gross margin percentage on the annual P&L?","GM% shown alongside gross profit on P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What was net margin in May?","net margin % from monthly P&L"
"pnl-monthly-variance","now","wired","explainVariance","How much was the Google Ads bill hitting S&M each month?","S&M line monthly; vendor detail via drill from variance"
"pnl-monthly-variance","now","wired","explainVariance","Why did our biggest expense line move the most this quarter?","identify and explain largest line variance"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Give me revenue, gross profit, and net income for each month.","three key lines month-by-month"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What were total revenues in the closed months so far?","sum of actual (Jan-May 2026) months"
"pnl-monthly-variance","now","wired","getMonthlyPnL","How does June look â€” is it still in close?","June flagged in-close on monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What's the forecast for the rest of 2026 on the P&L?","Jul-Dec forecast months"
"pnl-monthly-variance","now","wired","explainVariance","Which expense groups came in under budget this year?","favorable variances across OpEx groups"
"pnl-monthly-variance","now","wired","explainVariance","How big was the actual-to-budget swing on subscription revenue?","subscription revenue variance magnitude"
"pnl-monthly-variance","now","wired","explainVariance","Did we beat plan on gross profit?","gross profit budget comparison"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Show me operating margin trend by month.","operating margin % monthly"
"pnl-monthly-variance","now","wired","getPnL","What's Employee Expenses (payroll burden) running at this year?","Employee Expenses OpEx group annual"
"pnl-monthly-variance","now","wired","getPnL","How much interest/other did we record in FY26?","interest/other line on P&L"
"pnl-monthly-variance","now","wired","explainVariance","Compare this month's P&L to budget line by line.","line-by-line variance for the month"
"pnl-monthly-variance","now","wired","getMonthlyPnL","Was the soft quarter visible in the monthly numbers?","soft-quarter story beat in monthly P&L"
"pnl-monthly-variance","now","wired","getMonthlyPnL","What's our run-rate revenue based on the latest closed month?","latest actual month annualized from monthly P&L"
"pnl-monthly-variance","now","wired","getPnL","Show the P&L with budget, actual, variance, and forecast columns.","canonical four-column P&L"
"pnl-monthly-variance","now","wired","explainVariance","Why did net income swing so much between April and May?","month-over-month net income movement"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our cash balance right now?","Cash line on the latest BS"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much cash do we have at the end of May?","Period-scoped cash line"
"balance-sheet-cashflow","now","wired","getBalanceSheet","Show me the balance sheet for FY26.","Full BS at FY26 close"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What are our total assets?","Total assets subtotal"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our total liabilities and equity?","L+E must tie to assets"
"balance-sheet-cashflow","now","wired","getBalanceSheet","Does the balance sheet actually balance?","Tie-out by construction"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much do we have in accounts receivable?","AR line on BS"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our AR balance at end of Q2?","AR at quarter close"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How is AR trending over the last few months?","AR across BS periods"
"balance-sheet-cashflow","gap","none","getArForecast","What's our DSO and how is the AR forecast built?","AR Forecast/DSO driver surface not wired"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much accounts payable do we owe?","AP line on BS"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our AP balance at the end of the year?","AP at FY close"
"balance-sheet-cashflow","gap","none","getArForecast","What DPO assumption drives our payables forecast?","AP/DPO driver surface not wired (driver tools none)"
"balance-sheet-cashflow","ambiguous","wired","getBalanceSheet","How much deferred revenue is on the balance sheet?","may hit getContracts deferred waterfall instead of BS liability line"
"balance-sheet-cashflow","ambiguous","wired","getContracts","What's our deferred revenue waterfall by contract?","may hit getBalanceSheet liability line instead of contract waterfall"
"balance-sheet-cashflow","ambiguous","wired","getBalanceSheet","What's the deferred revenue liability at end of May?","may route to getContracts waterfall"
"balance-sheet-cashflow","ambiguous","wired","getContracts","How much is sitting in deferred revenue vs recognized this quarter?","recognized split lives in Contracts; could hit BS line"
"balance-sheet-cashflow","now","wired","getBalanceSheet","Do we have a right-of-use asset on the books?","ROU asset line"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our lease liability under ASC 842?","Lease liability on BS"
"balance-sheet-cashflow","now","wired","getBalanceSheet","Does the ROU asset equal the lease liability?","Equity-neutral by construction"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much total equity do we have?","Equity subtotal on BS"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our accumulated deficit?","Accumulated deficit in equity section"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much APIC is on the balance sheet?","APIC in equity (SBC credits flow here)"
"balance-sheet-cashflow","decline","na","decline","What's the preferred vs common split in our equity?","cap table / equity ownership is out of scope (Carta's job)"
"balance-sheet-cashflow","decline","na","decline","Who owns what percentage of the company?","cap table out of scope"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our prepaid expenses balance?","Prepaids line on BS"
"balance-sheet-cashflow","gap","none","getArForecast","How does our prepaid amortization schedule run off?","Prepaids Budget driver surface not wired"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our net PP&E / fixed assets balance?","Net fixed assets on BS"
"balance-sheet-cashflow","gap","none","getArForecast","What's our capex budget and depreciation schedule for the year?","Fixed Asset Budget driver surface not wired"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much accumulated depreciation have we booked?","Contra-asset shown on BS"
"balance-sheet-cashflow","now","wired","getCashFlow","Show me the cash flow statement for FY26.","Full CF at FY26"
"balance-sheet-cashflow","now","wired","getCashFlow","What was our operating cash flow last quarter?","OCF section of CF"
"balance-sheet-cashflow","now","wired","getCashFlow","How much cash did operations generate in May?","Month-scoped OCF"
"balance-sheet-cashflow","now","wired","getCashFlow","What's our free cash flow this year?","FCF via non-GAAP recon / CF"
"balance-sheet-cashflow","now","wired","getCashFlow","How much did we spend on capex this year?","Capex in investing activities"
"balance-sheet-cashflow","now","wired","getCashFlow","What's in our financing activities section?","Series B proceeds in financing"
"balance-sheet-cashflow","now","wired","getCashFlow","How much did the Series B add to cash?","~$20M financing inflow"
"balance-sheet-cashflow","now","wired","getCashFlow","What's the working capital change in our cash flow?","Î” AR/AP/deferred in OCF"
"balance-sheet-cashflow","now","wired","getCashFlow","How much did the change in AR affect cash this quarter?","change_ar in OCF"
"balance-sheet-cashflow","now","wired","getCashFlow","How did the change in AP move cash this year?","change_ap in OCF"
"balance-sheet-cashflow","now","wired","getCashFlow","How much of our cash flow is the deferred revenue build?","Î” deferred in OCF (annual-prepay cash engine)"
"balance-sheet-cashflow","now","wired","getCashFlow","Is SBC added back in operating cash flow?","SBC add-back in OCF"
"balance-sheet-cashflow","now","wired","getCashFlow","How much depreciation gets added back in the cash flow?","D&A add-back in OCF"
"balance-sheet-cashflow","ambiguous","wired","getMetric","What's our net burn right now?","may route to getCashFlow or getDashboard instead of getMetric net_burn"
"balance-sheet-cashflow","ambiguous","wired","getMetric","How many months of runway do we have?","runway also on getCashFlow getRunway and getDashboard tile"
"balance-sheet-cashflow","now","wired","getMetric","What's our runway?","runway metric ~49mo"
"balance-sheet-cashflow","now","wired","getMetric","What's our burn multiple?","burn_multiple ~0.6x"
"balance-sheet-cashflow","now","wired","getCashFlow","How did our cash position change from Q1 to Q2?","Net change in cash across periods"
"balance-sheet-cashflow","now","wired","getCashFlow","Why did cash drop this month?","Walk OCF/investing/financing for the month"
"balance-sheet-cashflow","gap","none","addFluxNote","Add a flux note explaining the AR spike this month.","flux-notes write path designed not built"
"balance-sheet-cashflow","gap","none","getFluxNotes","What flux notes are on the deferred revenue movement?","getFluxNotes designed not built"
"balance-sheet-cashflow","gap","none","getFluxDetail","Reconcile our AR subledger detail to the trial balance.","reconciliation/flux detail surface not built"
"balance-sheet-cashflow","gap","none","lockBudget","Lock the current balance sheet forecast as our budget.","lockBudget tool not wired"
"balance-sheet-cashflow","decline","na","decline","Post a journal entry to reclass the prepaid insurance.","posting JEs / running the close is the ERP's job, out of scope"
"balance-sheet-cashflow","decline","na","decline","Reconcile our bank statement to the GL cash account.","close/reconciliation operations out of scope; Dogfood reads a clean close"
"balance-sheet-cashflow","decline","na","decline","What will our cash balance be at the end of 2027?","beyond Dec 2026 seed horizon"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How does our deferred revenue compare year over year?","Compare deferred BS line across FY24/25/26"
"balance-sheet-cashflow","now","wired","getBalanceSheet","What's our quick ratio and current ratio?","Composed from current assets/liabilities on BS"
"balance-sheet-cashflow","now","wired","getBalanceSheet","How much of our assets is cash vs receivables vs everything else?","Asset mix from BS lines"
"balance-sheet-cashflow","now","wired","getCashFlow","What drove the net change in cash for FY26?","OCF + investing + financing = net change"
"contracts-bookings","now","wired","getContracts","How many active contracts do we have right now?",""
"contracts-bookings","now","wired","getContracts","Show me the contracts register.",""
"contracts-bookings","now","wired","getContracts","What's our total ARR across all signed contracts?",""
"contracts-bookings","now","wired","getContract","Pull up the contract for our biggest customer.",""
"contracts-bookings","ambiguous","wired","getContracts","What were our new bookings in May?","single-month vs YoY may misroute to getBookingsHistory"
"contracts-bookings","now","wired","getBookingsHistory","How do bookings this quarter compare to the same quarter last year?",""
"contracts-bookings","now","wired","getBookingsHistory","What's our trailing-twelve-month bookings number?",""
"contracts-bookings","now","wired","getContracts","Break down bookings into new, expansion, and contraction for Q2.",""
"contracts-bookings","now","wired","getContracts","How much expansion ARR did we book this year?",""
"contracts-bookings","now","wired","getContracts","What was our contraction / downsell amount last quarter?",""
"contracts-bookings","now","wired","getBookingsHistory","Bookings YoY?",""
"contracts-bookings","ambiguous","wired","getContracts","What's our deferred revenue balance?","could route to getBalanceSheet liability vs getContracts waterfall"
"contracts-bookings","now","wired","getContracts","Walk me through the deferred revenue waterfall for the next six months.",""
"contracts-bookings","now","wired","getContracts","What's our RPO / backlog right now?",""
"contracts-bookings","now","wired","getContracts","How much contracted revenue is still left to recognize?",""
"contracts-bookings","now","wired","getContracts","Show me the contracted-revenue bridge from recognized-to-date to forward.",""
"contracts-bookings","gap","stub","getNrr","Which contracts are up for renewal in the next 90 days?","needs Renewals register / listRenewals tool (not wired)"
"contracts-bookings","gap","stub","getGrr","What's our renewal rate this year?","renewals register / getGrr composed-not-wired"
"contracts-bookings","now","wired","getContracts","List every contract signed in the last 30 days.",""
"contracts-bookings","now","wired","getContracts","What's the average contract value across the book?",""
"contracts-bookings","now","wired","getContracts","Show me the largest contracts by ARR.",""
"contracts-bookings","now","wired","getContracts","What was the biggest deal we booked this quarter?",""
"contracts-bookings","now","wired","getContracts","How long is the typical contract term?",""
"contracts-bookings","now","wired","getContracts","What share of contracts are subscription vs services?",""
"contracts-bookings","now","wired","getContracts","How much of our bookings this year were subscription versus services?",""
"contracts-bookings","now","wired","getBookingsHistory","Did bookings grow year over year?",""
"contracts-bookings","ambiguous","wired","getContracts","What were total bookings in FY26 so far?","FY total vs TTM could split getContracts/getBookingsHistory"
"contracts-bookings","now","wired","getContract","Pull the contract details for Helix AI.",""
"contracts-bookings","now","wired","getContract","When does the Northwind Cloud contract renew?",""
"contracts-bookings","now","wired","getContract","What's the deferred balance attributable to our top account?",""
"contracts-bookings","now","wired","getBookingsHistory","How lumpy were bookings month to month this year?",""
"contracts-bookings","ambiguous","wired","getContracts","Net new ARR booked last month?","single-month vs trailing could hit getBookingsHistory"
"contracts-bookings","ambiguous","wired","getContracts","Show me bookings by sales rep this quarter.","rep-level may belong to Pipeline (not wired) rather than contracts"
"contracts-bookings","now","wired","getContracts","How is our backlog trending compared to last quarter?",""
"contracts-bookings","ambiguous","wired","getBalanceSheet","What's the deferred revenue on the balance sheet?","phrasing points to getBalanceSheet vs getContracts waterfall"
"contracts-bookings","now","wired","getContracts","How much new logo ARR did we add in Q1?",""
"contracts-bookings","now","wired","getContracts","Which contracts had expansions this year?",""
"contracts-bookings","now","wired","getContracts","Which contracts contracted or downsized?",""
"contracts-bookings","now","wired","getBookingsHistory","What's our average bookings per month over the trailing year?",""
"contracts-bookings","now","wired","getBookingsHistory","How does this month's bookings stack up against the same month last year?",""
"contracts-bookings","ambiguous","wired","getMetric","What's our NRR off the contract base?","cohort NRR via getMetric vs getCustomers segment view"
"contracts-bookings","ambiguous","wired","getCustomers","How many logos did we lose this year?","churned logos (getCustomers) vs logo-retention rate (getMetric)"
"contracts-bookings","now","wired","getContracts","What revenue will recognize from existing contracts in Q4?",""
"contracts-bookings","now","wired","getContracts","Show the deferred waterfall by stream.",""
"contracts-bookings","now","wired","getContracts","What's the weighted-average remaining term on the book?",""
"contracts-bookings","now","wired","getContracts","Give me a list of contracts expiring before year-end.",""
"contracts-bookings","gap","none","getPipeline","How much of our pipeline converted to bookings this quarter?","no getPipeline tool; pipeline register not built"
"contracts-bookings","gap","none","getPipeline","What's our pipeline coverage against next quarter's bookings target?","no getPipeline / getPipelineCoverage tool"
"contracts-bookings","gap","stub","compareScenarios","If we raised new-business bookings 20%, what happens to ARR?","scenarios engine not built / not wired"
"contracts-bookings","gap","stub","addFluxNote","Add a note on the Helix AI contract that the renewal is at risk.","flux-notes write path designed not built"
"contracts-bookings","decline","na","decline","What were our commission costs on this quarter's bookings?","commission capitalization (340-40) deferred/out of scope"
"contracts-bookings","decline","na","decline","How does our bookings growth compare to Numeric's?","external/non-Bearing market data out of scope"
"contracts-bookings","decline","na","decline","What's the right revenue-recognition treatment for a multi-year ramp deal under ASC 606?","GAAP/accounting advice; Dogfood reads a clean close, doesn't rule on rec policy"
"contracts-bookings","decline","na","decline","What equity stake does our biggest customer hold in us?","cap table is Carta's job, out of scope"
"contracts-bookings","decline","na","decline","Project our bookings for 2028.","beyond Dec 2026 seed horizon"
"contracts-bookings","now","wired","getBookingsHistory","What's our bookings number for 2026 versus 2025 and 2024?",""
"contracts-bookings","now","wired","getContracts","Show me which contracts are driving most of our deferred balance.",""
"contracts-bookings","now","wired","getContracts","How much ARR is locked in for next year already?",""
"contracts-bookings","now","wired","getContracts","What's the split of bookings between new logos and the existing base?",""
"contracts-bookings","now","wired","getBookingsHistory","Was Q2 a soft bookings quarter relative to history?",""
"contracts-bookings","now","wired","getContracts","What's the total contract value of everything we've signed?",""
"contracts-bookings","now","wired","getBookingsHistory","Show me the bookings trend over the last eight quarters.",""
"contracts-bookings","now","wired","getContracts","How much services revenue is under contract right now?",""
"contracts-bookings","gap","stub","getNrr","What is the renewal value coming due in Q3?","renewals worklist not wired"
"contracts-bookings","now","wired","getContracts","What portion of our ARR comes from our top 10 contracts?",""
"contracts-bookings","now","wired","getContracts","Did any contract more than double in size this year?",""
"customers-churn","now","wired","getCustomers","Which customers churned this year?","Filter customer list to churned status"
"customers-churn","ambiguous","wired","getMetric","What's our logo churn rate?","logo_retention metric, NOT a getCustomers logo list"
"customers-churn","ambiguous","wired","getCustomers","How many logos did we lose in Q2?","churned LOGOS via getCustomers, not the rate metric"
"customers-churn","now","wired","getCustomers","Show me all our customers.","Straight customer register read"
"customers-churn","now","wired","getCustomers","Who's our biggest customer by ARR?","Sort customers by ARR descending"
"customers-churn","now","wired","getCustomer","What's the ARR for Helix AI?","Entity-specific customer lookup"
"customers-churn","now","wired","getCustomers","Give me ARR broken down by customer.","Per-customer ARR is a getCustomers field, not bare ARR metric"
"customers-churn","ambiguous","wired","getMetric","What's our ARR?","bare ARR = getMetric arr_mrr, not the getCustomers breakdown"
"customers-churn","now","wired","getCustomers","Which accounts expanded this year?","Expansion flag on customer records"
"customers-churn","now","wired","getCustomers","How much expansion ARR did we book in FY26?","Expansion ARR aggregated across customers"
"customers-churn","now","wired","getMetric","What's our net revenue retention?","Cohort NRR (i-12) via getMetric nrr"
"customers-churn","ambiguous","wired","getMetric","What's gross revenue retention?","grr via getMetric if cataloged; Renewals getGrr is composed-not-wired"
"customers-churn","now","wired","getCustomers","How many customers do we have right now?","Count active customers in register"
"customers-churn","now","wired","getCustomer","Tell me about the Northwind Cloud account.","Customer profile lookup"
"customers-churn","gap","none","getRenewals","Which customers are at risk of churning?","Needs Renewals worklist / health surface; no getRenewals tool"
"customers-churn","ambiguous","wired","getMetric","What's our churn rate vs last quarter?","logo_retention metric over periods, not churned-logo list"
"customers-churn","now","wired","getCustomers","List the customers who downgraded or contracted their spend.","Contraction flag in customer records (NRR bridge has downsells)"
"customers-churn","ambiguous","wired","getCustomers","Who churned in May?","churned LOGOS by month via getCustomers, not rate metric"
"customers-churn","now","wired","getCustomers","What was the ARR we lost to churn this year?","Churned-ARR aggregate; tile shows 'â€”' when none"
"customers-churn","now","wired","getCustomers","Show me our top 10 customers.","Sort + limit customer list"
"customers-churn","now","wired","getCustomers","How concentrated is our revenue in the top accounts?","Compute top-N share from per-customer ARR"
"customers-churn","now","wired","getMetric","What's our NRR for the i-12 cohort?","Exact cohort NRR definition Scout uses"
"customers-churn","now","wired","getMetric","Did NRR go up or down year over year?","NRR across periods via getMetric"
"customers-churn","gap","none","getCustomers","Which segment has the worst retention?","Needs segment-level retention rollup; not in current getCustomers shape"
"customers-churn","ambiguous","wired","getCustomers","Break down ARR by customer segment.","getCustomers segment view vs getMetric bare ARR"
"customers-churn","now","wired","getCustomers","How many new logos did we add this year?","New customers in FY26 from register"
"customers-churn","now","wired","getMetric","What's the lifetime value of our average customer?","ltv_cac metric basis"
"customers-churn","gap","none","getRenewals","Show me the customer health scores.","No health-score data modeled; needs Renewals/health surface"
"customers-churn","now","wired","getCustomers","Who are our newest customers?","Sort customers by start date"
"customers-churn","ambiguous","wired","getMetric","What percentage of customers renewed?","logo_retention metric vs Renewals register (getRenewals not wired)"
"customers-churn","gap","none","getRenewals","What's our renewal pipeline for the next quarter?","Renewals register not wired as a Scout tool"
"customers-churn","gap","none","getRenewals","How much of Helix AI's contract is up for renewal soon?","Per-customer renewal schedule needs Renewals; getContract has terms but not renewal worklist"
"customers-churn","now","wired","getCustomers","What's the average ARR per customer?","Total ARR / customer count from register"
"customers-churn","now","wired","getCustomers","Which customers haven't expanded at all?","Filter customers with zero expansion"
"customers-churn","now","wired","getCustomers","Show me the churn for FY26 in dollars and logos.","Both churn measures from customer register"
"customers-churn","ambiguous","wired","getMetric","What's driving the dip in NRR?","getMetric nrr basis vs a customer-level expansion/contraction bridge in getCustomers"
"customers-churn","now","wired","getCustomers","Compare expansion vs contraction this year.","Both flags aggregated from customer records"
"customers-churn","gap","none","getCustomers","Which rep owns our biggest churned account?","Customer-to-rep ownership not in getCustomers; pipeline owns rep field"
"customers-churn","now","wired","getCustomers","Give me a list of customers sorted by ARR descending.","Explicit sort request"
"customers-churn","now","wired","getMetric","What's the logo retention rate this year?","logo_retention metric directly"
"customers-churn","now","wired","getCustomers","How many customers churned vs how many we added?","Adds and churns both from register"
"customers-churn","decline","na","decline","What's the credit score / financial health of our customers' parent companies?","External-market/PII data beyond the demo seed"
"customers-churn","decline","na","decline","Who owns equity in our largest customer?","Cap table is out of scope (Carta's job)"
"customers-churn","decline","na","decline","What's the industry-average SaaS churn rate for comparison?","Non-Bearing external-market data"
"customers-churn","decline","na","decline","What will churn look like in 2028?","Beyond the Dec 2026 seed horizon"
"customers-churn","gap","stub","setDriver","Model what happens to ARR if churn doubles next year.","Scenario engine is a stub; no setDriver wired"
"customers-churn","gap","stub","setDriver","If we lost our top 3 customers, what happens to ARR?","What-if churn scenario; engine not built"
"customers-churn","ambiguous","wired","getCustomer","Show me each customer's ARR trend over the last year.","getCustomer per-account timeline vs getCustomers single-period list"
"customers-churn","now","wired","getMetric","What's the expansion ARR from the i-12 cohort specifically?","Cohort expansion underlies NRR; getMetric nrr basis"
"customers-churn","now","wired","getCustomers","Tell me about our churned accounts in detail.","Churned customers list with detail"
"customers-churn","now","wired","getCustomers","Has any big customer reduced their contract value?","Contraction flag, sorted by ARR impact"
"customers-churn","ambiguous","wired","getMetric","What's our gross dollar retention this year?","grr metric vs Renewals getGrr (not wired)"
"customers-churn","now","wired","getCustomers","List customers acquired in the last 6 months and their ARR.","Date-filtered customer list with ARR"
"customers-churn","ambiguous","wired","getMetric","How does our retention compare to last year?","retention metric over periods vs churned-logo count"
"customers-churn","ambiguous","wired","getCustomers","What's the total contract value of our customer base?","customer-level ARR/TCV vs getContracts contract values"
"customers-churn","now","wired","getCustomers","Which customers contribute more than $500K in ARR?","Threshold filter on per-customer ARR"
"customers-churn","now","wired","getCustomers","Did we have a churn spike at any point this year?","Seed has a churn-spike event; surface from register"
"customers-churn","decline","na","decline","What's the personal email of the contact at Northwind Cloud?","PII beyond the demo; not stored"
"customers-churn","gap","none","getCustomer","How many seats does our largest customer have?","Seat/usage detail not modeled in customer records"
"customers-churn","now","wired","getCustomers","What's our net new ARR after churn and expansion this year?","New + expansion âˆ’ contraction âˆ’ churn from register"
"pipeline","gap","stub","getPipeline","What's our total open pipeline right now?","needs getPipeline + Pipeline register"
"pipeline","gap","stub","getPipeline","How much pipeline do we have by stage?","needs getPipeline by-stage aggregation"
"pipeline","gap","stub","getPipelineCoverage","Show me pipeline coverage against the Q3 number.","needs getPipelineCoverage query"
"pipeline","gap","stub","getPipelineCoverage","Whats our coverage ratio heading into next quarter?","needs getPipelineCoverage query"
"pipeline","gap","stub","getPipeline","Which rep has the most pipeline?","needs getPipeline by-rep aggregation"
"pipeline","gap","stub","getPipeline","Break down open opportunities by owner.","needs getPipeline by-rep aggregation"
